"nameaffiliation","year","num_papers"
"Universitat de Girona (UdG)","2010","4"
"Universitat de Girona (UdG)","2013","16"
"Universitat de Girona (UdG)","2018","8"
"Universitat de Girona (UdG)","2015","7"
"Universitat de Girona (UdG)","2014","11"
"Universitat de Girona (UdG)","2008","11"
"Universitat de Girona (UdG)","2009","18"
"Universitat de Girona (UdG)","2011","9"
"Universitat de Girona (UdG)","2006","8"
"Universitat de Lleida (UdL)","2018","1"
"Universitat de Lleida (UdL)","2015","1"
"Universitat de Lleida (UdL)","2016","2"
"Universitat de Lleida (UdL)","2012","2"
"Universitat de Lleida (UdL)","2006","1"
"Universitat de Lleida (UdL)","2009","2"
"Universitat de Lleida (UdL)","2011","4"
"Universitat de Lleida (UdL)","2014","1"
"Universitat de Lleida (UdL)","2010","2"
"Universitat de Lleida (UdL)","2013","2"
"Universitat de Lleida (UdL)","2004","3"
"Universitat de Lleida (UdL)","2007","3"
"Universitat de Lleida (UdL)","2002","1"
"Universitat de Lleida (UdL)","1989","2"
"Universitat de Vic (UVic-UCC)","2018","1"
"Universitat de Vic (UVic-UCC)","2016","1"
"Universitat de Vic (UVic-UCC)","2015","3"
"Universitat de Vic (UVic-UCC)","2014","2"
"Universitat de Vic (UVic-UCC)","2012","3"
"Universitat de Vic (UVic-UCC)","2011","1"
"Universitat de Vic (UVic-UCC)","2010","3"
"Universitat de Vic (UVic-UCC)","2009","3"
"Universitat de Vic (UVic-UCC)","2008","2"
"Universitat de Vic (UVic-UCC)","2005","1"
"Universitat de Vic (UVic-UCC)","2004","1"
"Universitat de Vic (UVic-UCC)","2003","1"
"Universitat de Vic (UVic-UCC)","2006","1"
"Universitat de Vic (UVic-UCC)","2000","1"
"Universitat de Vic (UVic-UCC)","2002","1"
"Universitat Politècnica de Catalunya (UPC)","2015","3"
"Universitat Politècnica de Catalunya (UPC)","2017","7"
"Universitat Politècnica de Catalunya (UPC)","2018","5"
"Universitat Politècnica de Catalunya (UPC)","2014","4"
"Universitat Politècnica de Catalunya (UPC)","2016","10"
"Universitat Politècnica de Catalunya (UPC)","2013","4"
"Universitat Politècnica de Catalunya (UPC)","2012","3"
"Universitat Politècnica de Catalunya (UPC)","2011","6"
"Universitat Politècnica de Catalunya (UPC)","1998","2"
"Universitat Politècnica de Catalunya (UPC)","2008","3"
"Universitat Politècnica de Catalunya (UPC)","2010","4"
"Universitat Politècnica de Catalunya (UPC)","2007","9"
"Universitat Politècnica de Catalunya (UPC)","1994","1"
"Universitat Politècnica de Catalunya (UPC)","2009","5"
"Universitat Politècnica de Catalunya (UPC)","2006","3"
"Universitat Politècnica de Catalunya (UPC)","2005","3"
"Universitat Politècnica de Catalunya (UPC)","1992","1"
"Universitat Politècnica de Catalunya (UPC)","2004","4"
"Universitat Politècnica de Catalunya (UPC)","1999","1"
"Universitat Politècnica de Catalunya (UPC)","2003","2"
"Universitat Politècnica de Catalunya (UPC)","2002","3"
"Universitat Politècnica de Catalunya (UPC)","2000","2"
"Universitat Politècnica de Catalunya (UPC)","1993","1"
"Universitat Politècnica de Catalunya (UPC)","1990","1"
"Universitat Pompeu Fabra (UPF)","1992","1"
"Universitat Pompeu Fabra (UPF)","1996","2"
"Universitat Pompeu Fabra (UPF)","1999","5"
"Universitat Pompeu Fabra (UPF)","1998","2"
"Universitat Pompeu Fabra (UPF)","2000","4"
"Universitat Pompeu Fabra (UPF)","1997","1"
"Universitat Pompeu Fabra (UPF)","1995","2"
"Universitat Pompeu Fabra (UPF)","2002","11"
"Universitat Pompeu Fabra (UPF)","2018","7"
"Universitat Pompeu Fabra (UPF)","2017","31"
"Universitat Pompeu Fabra (UPF)","2015","40"
"Universitat Pompeu Fabra (UPF)","2014","39"
"Universitat Rovira i Virgili (URV)","2001","1"
"Universitat Rovira i Virgili (URV)","2004","2"
"Universitat Rovira i Virgili (URV)","2013","7"
"Universitat Rovira i Virgili (URV)","2002","3"
"Universitat Rovira i Virgili (URV)","2018","5"
"Universitat Rovira i Virgili (URV)","2017","8"
"Universitat Rovira i Virgili (URV)","2014","4"
"Universitat Rovira i Virgili (URV)","2016","11"
"Universitat Rovira i Virgili (URV)","2010","6"
"Universitat Rovira i Virgili (URV)","2015","6"
"Universitat Rovira i Virgili (URV)","2009","8"
"Universitat Rovira i Virgili (URV)","2005","7"
"Universitat Rovira i Virgili (URV)","2012","21"
"Universitat Rovira i Virgili (URV)","2008","4"
"Universitat Rovira i Virgili (URV)","2003","2"
"Universitat Rovira i Virgili (URV)","2011","12"
"Universitat Rovira i Virgili (URV)","2007","12"
"Universitat Rovira i Virgili (URV)","2006","4"
"Vall d'Hebron Research Institute (VHIR)","2001","1"
"Vall d'Hebron Research Institute (VHIR)","2005","1"
"Vall d'Hebron Research Institute (VHIR)","2003","2"
"Vall d'Hebron Research Institute (VHIR)","2007","3"
"Vall d'Hebron Research Institute (VHIR)","2004","1"
"Vall d'Hebron Research Institute (VHIR)","2002","6"
"Vall d'Hebron Research Institute (VHIR)","2018","7"
"Vall d'Hebron Research Institute (VHIR)","2017","9"
"Vall d'Hebron Research Institute (VHIR)","2016","7"
"Vall d'Hebron Research Institute (VHIR)","2006","3"
"Vall d'Hebron Research Institute (VHIR)","2014","12"
"Vall d'Hebron Research Institute (VHIR)","2009","6"
"Vall d'Hebron Research Institute (VHIR)","2011","6"
"Vall d'Hebron Research Institute (VHIR)","2010","8"
"Vall d'Hebron Research Institute (VHIR)","2015","10"
"Vall d'Hebron Research Institute (VHIR)","2013","6"
"Vall d'Hebron Research Institute (VHIR)","2012","11"
"Vall d'Hebron Research Institute (VHIR)","2008","5"
"Universitat Pompeu Fabra (UPF)","2012","41"
"Universitat Pompeu Fabra (UPF)","2008","37"
"Universitat Pompeu Fabra (UPF)","2013","40"
"Universitat Pompeu Fabra (UPF)","2007","24"
"Universitat Pompeu Fabra (UPF)","2016","30"
"Universitat Pompeu Fabra (UPF)","2001","8"
"Universitat Pompeu Fabra (UPF)","2006","21"
"Universitat Pompeu Fabra (UPF)","2009","34"
"Universitat Pompeu Fabra (UPF)","2004","22"
"Universitat Pompeu Fabra (UPF)","2003","15"
"Universitat Pompeu Fabra (UPF)","2005","14"
"Universitat Pompeu Fabra (UPF)","2010","30"
"Universitat Pompeu Fabra (UPF)","2011","45"
"Barcelona Supercomputing Center (BSC-CNS)","2013","29"
"Barcelona Supercomputing Center (BSC-CNS)","2012","22"
"Barcelona Supercomputing Center (BSC-CNS)","2009","12"
"Barcelona Supercomputing Center (BSC-CNS)","2008","12"
"Barcelona Supercomputing Center (BSC-CNS)","2010","6"
"Barcelona Supercomputing Center (BSC-CNS)","2017","18"
"Barcelona Supercomputing Center (BSC-CNS)","2011","13"
"Barcelona Supercomputing Center (BSC-CNS)","2016","22"
"Barcelona Supercomputing Center (BSC-CNS)","2000","2"
"Universitat de Barcelona (UB)","2000","5"
"Barcelona Supercomputing Center (BSC-CNS)","1998","1"
"Universitat de Barcelona (UB)","1998","3"
"Barcelona Supercomputing Center (BSC-CNS)","1999","3"
"Universitat de Barcelona (UB)","1999","1"
"Barcelona Supercomputing Center (BSC-CNS)","1988","1"
"Universitat de Barcelona (UB)","1988","1"
"Barcelona Supercomputing Center (BSC-CNS)","1996","3"
"Universitat de Barcelona (UB)","1996","3"
"Barcelona Supercomputing Center (BSC-CNS)","2001","5"
"Universitat de Barcelona (UB)","2001","5"
